"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"104","Jeff Wilson Jr.","MIA","84","","","","","","","","","","","","","","","","",""
"2","James Cook","BUF","4","2","8","10","","","","","","","","","","","","","",""
"26","Breece Hall","NYJ","10","41","31","19","","","","","","","","","","","","","",""
"56","Braelon Allen","NYJ","35","69","40","57","","","","","","","","","","","","","",""
"23","Alvin Kamara","NO","21","12","42","29","","","","","","","","","","","","","",""
"91","Adam Prentice","DEN","65","76","77","73","","","","","","","","","","","","","",""
"95","Scott Matlock","LAC","84","76","77","67","","","","","","","","","","","","","",""
"39","Tyler Allgeier","ATL","57","20","70","30","","","","","","","","","","","","","",""
"71","Zamir White","LV","75","54","56","","","","","","","","","","","","","","",""
"76","Devin Singletary","NYG","73","70","72","56","","","","","","","","","","","","","",""
"104","Ulysses Bentley IV","IND","84","","","","","","","","","","","","","","","","",""
"46","Zach Charbonnet","SEA","26","70","","26","","","","","","","","","","","","","",""
"18","Derrick Henry","BLT","1","59","20","43","","","","","","","","","","","","","",""
"30","Woody Marks","HST","80","39","52","6","","","","","","","","","","","","","",""
"68","Chris Brooks","GB","66","43","77","67","","","","","","","","","","","","","",""
"29","Justice Hill","BLT","97","44","37","4","","","","","","","","","","","","","",""
"73","Raheim Sanders","CLV","36","","","","","","","","","","","","","","","","",""
"1","Christian McCaffrey","SF","3","5","6","9","","","","","","","","","","","","","",""
"104","Adin Huntington","CLV","84","76","77","77","","","","","","","","","","","","","",""
"41","Rachaad White","TB","52","21","63","40","","","","","","","","","","","","","",""
"44","Isiah Pacheco","KC","43","49","47","23","","","","","","","","","","","","","",""
"13","Ashton Jeanty","LV","24","36","43","1","","","","","","","","","","","","","",""
"52","Kyle Juszczyk","SF","42","66","38","46","","","","","","","","","","","","","",""
"24","Quinshon Judkins","CLV","","29","11","11","","","","","","","","","","","","","",""
"104","Velus Jones Jr.","NO","","","","77","","","","","","","","","","","","","",""
"65","Tyler Badie","DEN","49","48","77","59","","","","","","","","","","","","","",""
"43","Bhayshul Tuten","JAX","69","18","34","55","","","","","","","","","","","","","",""
"49","Blake Corum","LA","52","27","50","53","","","","","","","","","","","","","",""
"89","Jacardia Wright","SEA","","","66","","","","","","","","","","","","","","",""
"31","Chase Brown","CIN","22","34","45","36","","","","","","","","","","","","","",""
"37","Jacory Croskey-Merritt","WAS","17","64","26","44","","","","","","","","","","","","","",""
"101","Craig Reynolds","DET","","73","","","","","","","","","","","","","","","",""
"104","Jalen Ramsey","PIT","84","","77","77","","","","","","","","","","","","","",""
"51","Tyrone Tracy","NYG","39","33","48","","","","","","","","","","","","","","",""
