Ovr,Name,POS,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
98,Hunter Luepke,RB,DAL,84.0,76.0,77.0,72.0,,,,,,,,,,,,,,
92,Tahj Brooks,RB,CIN,,,69.0,,,,,,,,,,,,,,,
72,LeQuint Allen,RB,JAX,60.0,67.0,67.0,62.0,,,,,,,,,,,,,,
85,Ray Davis,RB,BUF,69.0,58.0,77.0,75.0,,,,,,,,,,,,,,
5,Jahmyr Gibbs,RB,DET,13.0,7.0,3.0,15.0,,,,,,,,,,,,,,
104,Jakob Johnson,RB,HST,84.0,76.0,77.0,,,,,,,,,,,,,,,
53,Jerome Ford,RB,CLV,64.0,27.0,51.0,64.0,,,,,,,,,,,,,,
36,Trey Benson,RB,ARZ,30.0,35.0,34.0,34.0,,,,,,,,,,,,,,
66,Chris Rodriguez Jr.,RB,WAS,,,55.0,47.0,,,,,,,,,,,,,,
84,Dylan Laube,RB,LV,,51.0,75.0,,,,,,,,,,,,,,,
8,Bucky Irving,RB,TB,15.0,11.0,16.0,7.0,,,,,,,,,,,,,,
104,Robbie Ouzts,RB,SEA,84.0,76.0,77.0,,,,,,,,,,,,,,,
78,Trevor Etienne,RB,CAR,78.0,68.0,77.0,54.0,,,,,,,,,,,,,,
79,Nate Carter,RB,ATL,,76.0,52.0,,,,,,,,,,,,,,,
54,Aaron Jones,RB,MIN,12.0,59.0,,,,,,,,,,,,,,,,
68,Brashard Smith,RB,KC,84.0,74.0,71.0,45.0,,,,,,,,,,,,,,
104,Brady Russell,RB,SEA,,,77.0,77.0,,,,,,,,,,,,,,
63,Kyle Monangai,RB,CHI,60.0,45.0,58.0,61.0,,,,,,,,,,,,,,
79,AJ Dillon,RB,PHI,72.0,63.0,77.0,62.0,,,,,,,,,,,,,,
104,Andrew Beck,RB,NYJ,84.0,76.0,77.0,77.0,,,,,,,,,,,,,,
3,Jonathan Taylor,RB,IND,23.0,1.0,1.0,21.0,,,,,,,,,,,,,,
87,Will Shipley,RB,PHI,52.0,,,77.0,,,,,,,,,,,,,,
41,Dylan Sampson,RB,CLV,9.0,26.0,75.0,93.0,,,,,,,,,,,,,,
48,Zavier Scott,RB,MIN,,,45.0,18.0,,,,,,,,,,,,,,
77,Samaje Perine,RB,CIN,52.0,76.0,65.0,73.0,,,,,,,,,,,,,,
16,Chuba Hubbard,RB,CAR,8.0,10.0,28.0,38.0,,,,,,,,,,,,,,
57,Antonio Gibson,RB,NE,80.0,50.0,59.0,39.0,,,,,,,,,,,,,,
24,Jordan Mason,RB,MIN,30.0,41.0,7.0,35.0,,,,,,,,,,,,,,
82,Alec Ingold,RB,MIA,69.0,54.0,77.0,77.0,,,,,,,,,,,,,,
10,Travis Etienne Jr.,RB,JAX,6.0,15.0,22.0,13.0,,,,,,,,,,,,,,
104,Reggie Gilliam,RB,BUF,84.0,76.0,77.0,77.0,,,,,,,,,,,,,,
79,Dare Ogunbowale,RB,HST,46.0,76.0,,77.0,,,,,,,,,,,,,,
67,Raheem Mostert,RB,LV,,,,41.0,,,,,,,,,,,,,,
59,Emanuel Wilson,RB,GB,78.0,76.0,62.0,30.0,,,,,,,,,,,,,,
75,Ty Johnson,RB,BUF,57.0,72.0,57.0,77.0,,,,,,,,,,,,,,
99,Rasheen Ali,RB,BLT,76.0,,,77.0,,,,,,,,,,,,,,
47,Kendre Miller,RB,NO,57.0,62.0,48.0,25.0,,,,,,,,,,,,,,
7,De'Von Achane,RB,MIA,10.0,3.0,12.0,17.0,,,,,,,,,,,,,,
50,Rico Dowdle,RB,CAR,49.0,56.0,24.0,52.0,,,,,,,,,,,,,,
17,Kenneth Walker III,RB,SEA,40.0,9.0,10.0,27.0,,,,,,,,,,,,,,
45,Kareem Hunt,RB,KC,46.0,46.0,23.0,48.0,,,,,,,,,,,,,,
11,Omarion Hampton,RB,LAC,33.0,52.0,4.0,7.0,,,,,,,,,,,,,,
9,Josh Jacobs,RB,GB,18.0,22.0,21.0,2.0,,,,,,,,,,,,,,
12,Saquon Barkley,RB,PHI,7.0,13.0,30.0,16.0,,,,,,,,,,,,,,
62,Najee Harris,RB,LAC,62.0,37.0,59.0,,,,,,,,,,,,,,,
104,Hassan Haskins,RB,LAC,84.0,76.0,77.0,77.0,,,,,,,,,,,,,,
35,RJ Harvey,RB,DEN,34.0,53.0,52.0,12.0,,,,,,,,,,,,,,
86,Julius Chestnut,RB,TEN,82.0,76.0,61.0,77.0,,,,,,,,,,,,,,
64,Emari Demercado,RB,ARZ,,76.0,77.0,36.0,,,,,,,,,,,,,,
21,David Montgomery,RB,DET,32.0,24.0,2.0,66.0,,,,,,,,,,,,,,
94,Tank Bigsby,RB,PHI,68.0,,,,,,,,,,,,,,,,,
82,DJ Giddens,RB,IND,48.0,76.0,74.0,77.0,,,,,,,,,,,,,,
90,Cam Akers,RB,MIN,,,67.0,,,,,,,,,,,,,,,
38,James Conner,RB,ARZ,16.0,25.0,40.0,,,,,,,,,,,,,,,
104,British Brooks,RB,HST,,,,77.0,,,,,,,,,,,,,,
