Ovr,Name,POS,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
142,Demarcus Robinson,WR,SF,,,,85.0,,,,,,,,,,,,,,
158,Jahdae Walker,WR,CHI,,,,114.0,,,,,,,,,,,,,,
45,Calvin Austin III,WR,PIT,16.0,95.0,30.0,82.0,,,,,,,,,,,,,,
158,Jalen Cropper,WR,DAL,,,,114.0,,,,,,,,,,,,,,
93,Darnell Mooney,WR,ATL,,85.0,43.0,94.0,,,,,,,,,,,,,,
157,Derius Davis,WR,LAC,117.0,123.0,120.0,,,,,,,,,,,,,,,
147,Tay Martin,WR,WAS,,,,95.0,,,,,,,,,,,,,,
111,Ben Skowronek,WR,PIT,41.0,123.0,121.0,114.0,,,,,,,,,,,,,,
5,Garrett Wilson,WR,NYJ,7.0,53.0,2.0,10.0,,,,,,,,,,,,,,
151,Curtis Samuel,WR,BUF,,,,100.0,,,,,,,,,,,,,,
90,Isaiah Bond,WR,CLV,104.0,102.0,82.0,40.0,,,,,,,,,,,,,,
73,Luther Burden III,WR,CHI,115.0,112.0,10.0,105.0,,,,,,,,,,,,,,
71,Joshua Palmer,WR,BUF,35.0,71.0,111.0,69.0,,,,,,,,,,,,,,
158,Russell Gage,WR,SF,118.0,,,,,,,,,,,,,,,,,
158,Gunner Olszewski,WR,NYG,,,121.0,,,,,,,,,,,,,,,
64,Matthew Golden,WR,GB,84.0,112.0,38.0,30.0,,,,,,,,,,,,,,
117,Adam Thielen,WR,MIN,118.0,82.0,121.0,84.0,,,,,,,,,,,,,,
89,Kendrick Bourne,WR,SF,,72.0,47.0,91.0,,,,,,,,,,,,,,
54,Cooper Kupp,WR,SEA,87.0,21.0,67.0,55.0,,,,,,,,,,,,,,
10,Deebo Samuel,WR,WAS,6.0,17.0,69.0,11.0,,,,,,,,,,,,,,
158,Scott Miller,WR,PIT,118.0,123.0,121.0,114.0,,,,,,,,,,,,,,
25,Chris Olave,WR,NO,26.0,36.0,18.0,31.0,,,,,,,,,,,,,,
141,Tim Patrick,WR,JAX,118.0,123.0,96.0,111.0,,,,,,,,,,,,,,
155,Bryce Oliver,WR,TEN,99.0,123.0,,,,,,,,,,,,,,,,
49,Mike Evans,WR,TB,38.0,43.0,27.0,,,,,,,,,,,,,,,
150,Skyy Moore,WR,SF,118.0,123.0,102.0,114.0,,,,,,,,,,,,,,
151,Tai Felton,WR,MIN,,,104.0,,,,,,,,,,,,,,,
59,DeAndre Hopkins,WR,BLT,33.0,29.0,99.0,114.0,,,,,,,,,,,,,,
57,Tee Higgins,WR,CIN,59.0,28.0,98.0,60.0,,,,,,,,,,,,,,
158,Charlie Jones,WR,CIN,,123.0,121.0,,,,,,,,,,,,,,,
33,Tetairoa McMillan,WR,CAR,30.0,21.0,47.0,33.0,,,,,,,,,,,,,,
144,David Moore,WR,CAR,118.0,123.0,111.0,108.0,,,,,,,,,,,,,,
80,Jalen Tolbert,WR,DAL,112.0,91.0,62.0,34.0,,,,,,,,,,,,,,
69,Travis Hunter,WR,JAX,39.0,77.0,89.0,52.0,,,,,,,,,,,,,,
83,Elijah Moore,WR,BUF,95.0,42.0,59.0,114.0,,,,,,,,,,,,,,
41,CeeDee Lamb,WR,DAL,14.0,10.0,121.0,,,,,,,,,,,,,,,
36,Rashid Shaheed,WR,NO,39.0,26.0,44.0,38.0,,,,,,,,,,,,,,
22,Romeo Doubs,WR,GB,45.0,35.0,73.0,3.0,,,,,,,,,,,,,,
46,KaVontae Turpin,WR,DAL,70.0,25.0,42.0,57.0,,,,,,,,,,,,,,
127,John Metchie III,WR,PHI,118.0,120.0,107.0,85.0,,,,,,,,,,,,,,
67,Tory Horton,WR,SEA,118.0,37.0,31.0,99.0,,,,,,,,,,,,,,
158,Jalen Royals,WR,KC,,,,114.0,,,,,,,,,,,,,,
98,Demario Douglas,WR,NE,50.0,108.0,92.0,114.0,,,,,,,,,,,,,,
142,Arian Smith,WR,NYJ,118.0,121.0,100.0,114.0,,,,,,,,,,,,,,
78,Brandin Cooks,WR,NO,63.0,82.0,62.0,64.0,,,,,,,,,,,,,,
14,Davante Adams,WR,LA,42.0,9.0,22.0,20.0,,,,,,,,,,,,,,
158,Dominic Lovett,WR,DET,,123.0,121.0,114.0,,,,,,,,,,,,,,
28,Wan'Dale Robinson,WR,NYG,33.0,5.0,82.0,71.0,,,,,,,,,,,,,,
21,Nico Collins,WR,HST,64.0,30.0,2.0,29.0,,,,,,,,,,,,,,
136,Jaylin Noel,WR,HST,101.0,123.0,115.0,110.0,,,,,,,,,,,,,,
104,Allen Lazard,WR,NYJ,,123.0,40.0,103.0,,,,,,,,,,,,,,
96,Jayden Reed,WR,GB,22.0,123.0,,,,,,,,,,,,,,,,
86,Brycen Tremayne,WR,CAR,118.0,65.0,84.0,55.0,,,,,,,,,,,,,,
134,Ashton Dulin,WR,IND,104.0,123.0,121.0,89.0,,,,,,,,,,,,,,
56,Sterling Shepard,WR,TB,55.0,68.0,33.0,75.0,,,,,,,,,,,,,,
84,Xavier Hutchinson,WR,HST,64.0,78.0,72.0,79.0,,,,,,,,,,,,,,
79,Adonai Mitchell,WR,IND,80.0,85.0,121.0,28.0,,,,,,,,,,,,,,
158,Kameron Johnson,WR,TB,118.0,123.0,121.0,114.0,,,,,,,,,,,,,,
140,D'Wayne Eskridge,WR,MIA,98.0,108.0,121.0,114.0,,,,,,,,,,,,,,
6,George Pickens,WR,DAL,62.0,14.0,15.0,2.0,,,,,,,,,,,,,,
137,Pat Bryant,WR,DEN,118.0,88.0,121.0,114.0,,,,,,,,,,,,,,
52,Kayshon Boutte,WR,NE,17.0,57.0,71.0,89.0,,,,,,,,,,,,,,
146,Trent Sherfield,WR,DEN,109.0,117.0,121.0,114.0,,,,,,,,,,,,,,
109,Chris Moore,WR,WAS,78.0,,73.0,111.0,,,,,,,,,,,,,,
108,Mitchell Tinsley,WR,CIN,118.0,59.0,121.0,100.0,,,,,,,,,,,,,,
158,Jackson Meeks,WR,DET,,,,114.0,,,,,,,,,,,,,,
158,KhaDarel Hodge,WR,ATL,118.0,123.0,121.0,,,,,,,,,,,,,,,
103,Kalif Raymond,WR,DET,84.0,94.0,115.0,82.0,,,,,,,,,,,,,,
34,Troy Franklin,WR,DEN,48.0,7.0,90.0,36.0,,,,,,,,,,,,,,
158,KeAndre Lambert-Smith,WR,LAC,118.0,123.0,,114.0,,,,,,,,,,,,,,
125,Zay Jones,WR,ARZ,107.0,123.0,73.0,,,,,,,,,,,,,,,
50,Cedric Tillman,WR,CLV,18.0,46.0,60.0,105.0,,,,,,,,,,,,,,
132,Xavier Smith,WR,LA,74.0,123.0,,114.0,,,,,,,,,,,,,,
8,Emeka Egbuka,WR,TB,4.0,32.0,24.0,11.0,,,,,,,,,,,,,,
111,Casey Washington,WR,ATL,59.0,,,88.0,,,,,,,,,,,,,,
130,Jack Bech,WR,LV,88.0,123.0,102.0,114.0,,,,,,,,,,,,,,
99,Ray-Ray McCloud III,WR,ATL,52.0,123.0,80.0,113.0,,,,,,,,,,,,,,
47,JuJu Smith-Schuster,WR,KC,37.0,112.0,39.0,24.0,,,,,,,,,,,,,,
32,Tyquan Thornton,WR,KC,61.0,31.0,14.0,43.0,,,,,,,,,,,,,,
158,Konata Mumpfield,WR,LA,118.0,123.0,121.0,114.0,,,,,,,,,,,,,,
18,D.K. Metcalf,WR,PIT,28.0,40.0,31.0,7.0,,,,,,,,,,,,,,
94,Dont'e Thornton Jr.,WR,LV,58.0,97.0,69.0,114.0,,,,,,,,,,,,,,
65,Alec Pierce,WR,IND,74.0,41.0,35.0,,,,,,,,,,,,,,,
26,Marquise Brown,WR,KC,10.0,62.0,44.0,26.0,,,,,,,,,,,,,,
74,Mack Hollins,WR,NE,109.0,65.0,54.0,49.0,,,,,,,,,,,,,,
54,Jerry Jeudy,WR,CLV,32.0,52.0,92.0,45.0,,,,,,,,,,,,,,
13,Michael Pittman Jr.,WR,IND,9.0,62.0,13.0,22.0,,,,,,,,,,,,,,
30,Khalil Shakir,WR,BUF,26.0,104.0,24.0,15.0,,,,,,,,,,,,,,
23,Tyreek Hill,WR,MIA,53.0,19.0,17.0,27.0,,,,,,,,,,,,,,
158,Isaiah Williams,WR,NYJ,,,,114.0,,,,,,,,,,,,,,
131,Xavier Legette,WR,CAR,81.0,121.0,,,,,,,,,,,,,,,,
81,Jayden Higgins,WR,HST,66.0,88.0,111.0,37.0,,,,,,,,,,,,,,
81,Parker Washington,WR,JAX,118.0,34.0,51.0,156.0,,,,,,,,,,,,,,
137,Kyle Williams,WR,NE,94.0,123.0,107.0,157.0,,,,,,,,,,,,,,
19,Malik Nabers,WR,NYG,29.0,2.0,87.0,75.0,,,,,,,,,,,,,,
158,Bo Melton,WR,GB,,,121.0,,,,,,,,,,,,,,,
24,Ricky Pearsall,WR,SF,20.0,51.0,11.0,42.0,,,,,,,,,,,,,,
9,Keenan Allen,WR,LAC,11.0,18.0,12.0,41.0,,,,,,,,,,,,,,
43,Marvin Mims Jr.,WR,DEN,79.0,45.0,115.0,9.0,,,,,,,,,,,,,,
47,A.J. Brown,WR,PHI,99.0,67.0,5.0,91.0,,,,,,,,,,,,,,
3,Rome Odunze,WR,CHI,19.0,4.0,19.0,17.0,,,,,,,,,,,,,,
158,Alex Bachman,WR,LV,118.0,123.0,121.0,,,,,,,,,,,,,,,
37,DJ Moore,WR,CHI,36.0,49.0,28.0,45.0,,,,,,,,,,,,,,
125,Andrei Iosivas,WR,CIN,118.0,104.0,121.0,79.0,,,,,,,,,,,,,,
120,Malik Heath,WR,GB,118.0,80.0,121.0,100.0,,,,,,,,,,,,,,
158,Myles Price,WR,MIN,,,121.0,,,,,,,,,,,,,,,
70,Calvin Ridley,WR,TEN,56.0,56.0,81.0,65.0,,,,,,,,,,,,,,
158,Justin Shorter,WR,LV,,,121.0,,,,,,,,,,,,,,,
151,David Sills V,WR,ATL,118.0,123.0,104.0,114.0,,,,,,,,,,,,,,
100,Isaac TeSlaa,WR,DET,49.0,87.0,121.0,114.0,,,,,,,,,,,,,,
20,Drake London,WR,ATL,22.0,64.0,36.0,5.0,,,,,,,,,,,,,,
77,Devontez Walker,WR,BLT,,20.0,76.0,114.0,,,,,,,,,,,,,,
92,Jordan Addison,WR,MIN,,,,21.0,,,,,,,,,,,,,,
1,Puka Nacua,WR,LA,5.0,6.0,6.0,1.0,,,,,,,,,,,,,,
149,Dareke Young,WR,SEA,,123.0,100.0,114.0,,,,,,,,,,,,,,
101,Jahan Dotson,WR,PHI,44.0,116.0,110.0,114.0,,,,,,,,,,,,,,
63,Rashod Bateman,WR,BLT,92.0,92.0,16.0,81.0,,,,,,,,,,,,,,
12,Courtland Sutton,WR,DEN,12.0,111.0,4.0,13.0,,,,,,,,,,,,,,
17,Ja'Marr Chase,WR,CIN,74.0,3.0,34.0,51.0,,,,,,,,,,,,,,
71,Jalen Nailor,WR,MIN,82.0,74.0,54.0,52.0,,,,,,,,,,,,,,
156,Roman Wilson,WR,PIT,118.0,110.0,121.0,114.0,,,,,,,,,,,,,,
124,Justin Watson,WR,HST,70.0,117.0,,,,,,,,,,,,,,,,
158,Beaux Collins,WR,NYG,118.0,,121.0,114.0,,,,,,,,,,,,,,
60,Olamide Zaccheaus,WR,CHI,50.0,84.0,56.0,39.0,,,,,,,,,,,,,,
158,Jalin Hyatt,WR,NYG,,,121.0,114.0,,,,,,,,,,,,,,
76,Dontayvion Wicks,WR,GB,68.0,58.0,78.0,77.0,,,,,,,,,,,,,,
114,Savion Williams,WR,GB,111.0,103.0,160.0,63.0,,,,,,,,,,,,,,
35,Keon Coleman,WR,BUF,2.0,75.0,68.0,48.0,,,,,,,,,,,,,,
31,Jakobi Meyers,WR,LV,15.0,33.0,40.0,54.0,,,,,,,,,,,,,,
87,Tutu Atwell,WR,LA,107.0,123.0,121.0,19.0,,,,,,,,,,,,,,
114,Ryan Flournoy,WR,DAL,,123.0,78.0,68.0,,,,,,,,,,,,,,
158,Dalevon Campbell,WR,CAR,,,,114.0,,,,,,,,,,,,,,
118,Tre Harris,WR,LAC,95.0,76.0,121.0,114.0,,,,,,,,,,,,,,
84,Malik Washington,WR,MIA,69.0,92.0,58.0,74.0,,,,,,,,,,,,,,
51,Ladd McConkey,WR,LAC,24.0,47.0,46.0,98.0,,,,,,,,,,,,,,
158,Anthony Gould,WR,IND,,,121.0,,,,,,,,,,,,,,,
102,Jordan Whittington,WR,LA,116.0,72.0,86.0,104.0,,,,,,,,,,,,,,
44,Brian Thomas Jr.,WR,JAX,43.0,55.0,50.0,32.0,,,,,,,,,,,,,,
88,Xavier Worthy,WR,KC,118.0,,,16.0,,,,,,,,,,,,,,
158,Kevin Austin Jr.,WR,NO,,,121.0,,,,,,,,,,,,,,,
95,Greg Dortch,WR,ARZ,114.0,106.0,90.0,44.0,,,,,,,,,,,,,,
39,Elic Ayomanor,WR,TEN,88.0,24.0,26.0,57.0,,,,,,,,,,,,,,
29,Jaylen Waddle,WR,MIA,54.0,14.0,20.0,45.0,,,,,,,,,,,,,,
27,Marvin Harrison Jr.,WR,ARZ,12.0,80.0,51.0,14.0,,,,,,,,,,,,,,
2,Amon-Ra St. Brown,WR,DET,47.0,1.0,7.0,4.0,,,,,,,,,,,,,,
120,Noah Brown,WR,WAS,70.0,107.0,,,,,,,,,,,,,,,,
110,Devaughn Vele,WR,NO,93.0,69.0,,114.0,,,,,,,,,,,,,,
91,Michael Wilson,WR,ARZ,104.0,60.0,111.0,69.0,,,,,,,,,,,,,,
137,Josh Reynolds,WR,NYJ,82.0,,,114.0,,,,,,,,,,,,,,
123,Van Jefferson,WR,TEN,118.0,97.0,107.0,105.0,,,,,,,,,,,,,,
158,Darius Cooper,WR,PHI,118.0,123.0,121.0,,,,,,,,,,,,,,,
62,Luke McCaffrey,WR,WAS,118.0,99.0,22.0,34.0,,,,,,,,,,,,,,
4,Quentin Johnston,WR,LAC,3.0,23.0,20.0,6.0,,,,,,,,,,,,,,
52,Hunter Renfrow,WR,CAR,91.0,8.0,96.0,85.0,,,,,,,,,,,,,,
113,Ryan Miller,WR,TB,118.0,53.0,121.0,114.0,,,,,,,,,,,,,,
151,Marquez Valdes-Scantling,WR,SF,118.0,123.0,104.0,,,,,,,,,,,,,,,
129,Chris Godwin,WR,TB,,,,62.0,,,,,,,,,,,,,,
158,Jason Brownlee,WR,KC,118.0,123.0,121.0,,,,,,,,,,,,,,,
61,Jauan Jennings,WR,SF,84.0,11.0,,71.0,,,,,,,,,,,,,,
38,Stefon Diggs,WR,NE,31.0,70.0,65.0,18.0,,,,,,,,,,,,,,
105,Tyler Lockett,WR,TEN,118.0,99.0,49.0,114.0,,,,,,,,,,,,,,
119,Chimere Dike,WR,TEN,113.0,101.0,84.0,158.0,,,,,,,,,,,,,,
158,Tim Jones,WR,MIN,118.0,123.0,,,,,,,,,,,,,,,,
120,Nick Westbrook-Ikhine,WR,MIA,101.0,88.0,121.0,109.0,,,,,,,,,,,,,,
158,Cody White,WR,SEA,118.0,,,,,,,,,,,,,,,,,
127,Jamari Thrash,WR,CLV,103.0,112.0,92.0,114.0,,,,,,,,,,,,,,
148,Tez Johnson,WR,TB,118.0,,121.0,97.0,,,,,,,,,,,,,,
135,Nikko Remigio,WR,KC,118.0,96.0,118.0,114.0,,,,,,,,,,,,,,
158,Mason Tipton,WR,NO,,,121.0,114.0,,,,,,,,,,,,,,
40,DeVonta Smith,WR,PHI,74.0,50.0,9.0,67.0,,,,,,,,,,,,,,
107,Tyler Johnson,WR,NYJ,67.0,123.0,66.0,,,,,,,,,,,,,,,
106,Christian Kirk,WR,HST,,,61.0,65.0,,,,,,,,,,,,,,
65,Josh Downs,WR,IND,90.0,38.0,62.0,57.0,,,,,,,,,,,,,,
158,Malik Turner,WR,SF,,,121.0,,,,,,,,,,,,,,,
